England and Wales Code,England and Wales,National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Household size (5 categories) Code,Household size (5 categories),Car or van availability (5 categories) Code,Car or van availability (5 categories),Accommodation type (5 categories) Code,Accommodation type (5 categories),Tenure of household (5 categories) Code,Tenure of household (5 categories),Observation
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,0
K04000001,England and Wales,6,L12: Semi-routine occupations,0,0 people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,0
